effect_id,study_id,first_author,year,doi,pmid,cohort,cohort_family,n,mean_age,pct_female,cognitive_status,design,exposure_domain,exposure_measure,exposure_modality,nights,outcome_class,outcome_modality,outcome_tracer,outcome_region,effect_type,effect,ci_low,ci_high,se,p_value,adjustment,raw_sign_meaning,burden_aligned_effect,burden_aligned_note,provenance,conversion_rule,r,z,v,df_used,n_covariates,df_approximate,is_imputed_null,usable,usable_reason
E001,Varga2016,Varga,2016,10.5665/sleep.6240,27568802,NYU Center for Brain Health,NYU_CBH,36,66.8,52.8,cognitively_normal,cross_sectional,SWS_stage,SWS % of TST,PSG_lab,1.0,soluble_csf,CSF_Abeta42,,,pearson_r,-0.36,,,,0.05,unadjusted,less_SWS_higher_CSF_Ab42,0.36,CSF Ab42 inversely proxies deposition; sign flipped. In this pre-deposition CN cohort higher CSF Ab42 reflects higher soluble production not lower plaque load - see stage_flip flag,"Results: '%SWS (r = -0.36, P < 0.05)'",direct_r,0.36,0.3768859011881901,0.030303030303030304,34.0,0,False,False,True,
E002,Varga2016,Varga,2016,10.5665/sleep.6240,27568802,NYU Center for Brain Health,NYU_CBH,36,66.8,52.8,cognitively_normal,cross_sectional,SWS_stage,SWS duration (min),PSG_lab,1.0,soluble_csf,CSF_Abeta42,,,pearson_r,-0.35,,,,0.05,unadjusted,less_SWS_higher_CSF_Ab42,0.35,same_as_E001,"'significant inverse correlation between CSF Ab42 and SWS duration (r = -0.35, P < 0.05)'",direct_r,0.35,0.36544375427139614,0.030303030303030304,34.0,0,False,False,True,
E003,Varga2016,Varga,2016,10.5665/sleep.6240,27568802,NYU Center for Brain Health,NYU_CBH,36,66.8,52.8,cognitively_normal,cross_sectional,SWS_spectral,total SWA F4,PSG_lab,1.0,soluble_csf,CSF_Abeta42,,,pearson_r,-0.45,,,,0.01,unadjusted,less_SWA_higher_CSF_Ab42,0.45,same_as_E001,"'total SWA in F4 (r = -0.45, P < 0.01)'",direct_r,0.45,0.48470027859405174,0.030303030303030304,34.0,0,False,False,True,
E004,Varga2016,Varga,2016,10.5665/sleep.6240,27568802,NYU Center for Brain Health,NYU_CBH,36,66.8,52.8,cognitively_normal,cross_sectional,TST,total sleep time,PSG_lab,1.0,soluble_csf,CSF_Abeta42,,,pearson_r,0.0,,,,,unadjusted,,0.0,reported_as_not_correlated,'CSF Ab42 was not correlated with the duration of other sleep stages or TST',direct_r,0.0,0.0,0.030303030303030304,34.0,0,False,False,True,
E005,Ju2017,Ju,2017,10.1093/brain/awx148,28899014,WashU community registry,WashU,17,,,cognitively_normal,experimental_crossover,SWS_spectral,SWA disruption (delta power change),PSG_lab,2.0,soluble_csf,CSF_Abeta40,,,pearson_r,0.61,,,,0.009,within_subject,greater_SWA_disruption_higher_CSF_Ab40,0.61,Acute experimental manipulation; CSF Ab40 rise indexes increased production/reduced clearance not plaque load,"'Specific disruption of slow wave activity correlated with an increase in amyloid-b40 (r = 0.610, P = 0.009)'",direct_r,0.61,0.7089213594274083,0.07142857142857142,15.0,4,True,False,True,
E006,Ju2017,Ju,2017,10.1093/brain/awx148,28899014,WashU community registry,WashU,17,,,cognitively_normal,experimental_crossover,SE,sleep efficiency (actigraphy 6 nights),actigraphy,6.0,soluble_csf,CSF_Abeta40,,,pearson_r,0.0,,,,,within_subject,,0.0,reported as not significant for amyloid; the tau association was r=0.543,"'This effect was specific for slow wave activity, and not for sleep duration or efficiency'",direct_r,0.0,0.0,0.07142857142857142,15.0,4,True,False,True,
E007,Mander2015,Mander,2015,10.1038/nn.4035,26030850,Berkeley Aging Cohort Study,BerkeleyAgingCohort,26,75.1,69.2,cognitively_normal,cross_sectional,SWS_spectral,proportion mPFC NREM SWA 0.6-1 Hz,PSG_lab,1.0,deposition_pet,amyloid_PET,PiB,medial prefrontal cortex,pearson_r,-0.45,,,,0.02,unadjusted,less_low_freq_SWA_higher_PiB,0.45,direct_burden_measure,"'The proportion of mPFC SWA 0.6-1Hz was also negatively associated with mPFC PIB (r=-0.45, P=0.020)'",direct_r,0.45,0.48470027859405174,0.043478260869565216,24.0,0,False,False,True,
E008,Mander2015,Mander,2015,10.1038/nn.4035,26030850,Berkeley Aging Cohort Study,BerkeleyAgingCohort,26,75.1,69.2,cognitively_normal,cross_sectional,SWS_spectral,proportion mPFC NREM SWA 0.6-1 Hz (nonparametric),PSG_lab,1.0,deposition_pet,amyloid_PET,PiB,medial prefrontal cortex,kendall_tau,-0.3,,,,0.035,unadjusted,less_low_freq_SWA_higher_PiB,0.3,direct_burden_measure,"'Kendall tau=-0.30, P=0.035'",kendall_tau_to_r_sin,0.45399049973954675,0.48971537442745067,0.043478260869565216,24.0,0,False,False,True,
E009,Mander2015,Mander,2015,10.1038/nn.4035,26030850,Berkeley Aging Cohort Study,BerkeleyAgingCohort,26,75.1,69.2,cognitively_normal,cross_sectional,REM_spectral,proportion REM delta 0.6-1 Hz,PSG_lab,1.0,deposition_pet,amyloid_PET,PiB,medial prefrontal cortex,pearson_r,-0.31,,,,0.123,unadjusted,ns_specificity_control,0.31,specificity_control_not_significant,"'mPFC PIB was not associated with the proportion of REM delta power 0.6-1Hz (r=-0.31, P=0.123)'",direct_r,0.31,0.3205454093019461,0.043478260869565216,24.0,0,False,False,True,
E010,Winer2019,Winer,2019,10.1523/jneurosci.0503-19.2019,31209175,Berkeley Aging Cohort Study,BerkeleyAgingCohort,31,75.7,77.4,cognitively_normal,cross_sectional,SWS_spectral,proportion 0.6-1 Hz SWA (Fz),PSG_lab,1.0,deposition_pet,amyloid_PET,PiB,cortical composite,pearson_r,-0.36,,,,0.04,unadjusted,less_low_freq_SWA_higher_cortical_Ab,0.36,direct_burden_measure,"'the proportion 0.6-1 Hz SWA predicted cortical Ab ... (r = -0.36, p = 0.04)'",direct_r,0.36,0.3768859011881901,0.03571428571428571,29.0,0,False,False,True,
E011,Winer2019,Winer,2019,10.1523/jneurosci.0503-19.2019,31209175,Berkeley Aging Cohort Study,BerkeleyAgingCohort,31,75.7,77.4,cognitively_normal,cross_sectional,SWS_spectral,proportion 0.6-1 Hz SWA (Fz),PSG_lab,1.0,deposition_pet,amyloid_PET,PiB,cortical composite,partial_r,-0.43,,,,0.04,age_sex_apnea_interval,less_low_freq_SWA_higher_cortical_Ab,0.43,direct_burden_measure,"'remained significant in a linear regression adjusting for age, sex, sleep apnea risk, and interval (r = -0.43, p = 0.04)'",direct_r,0.43,0.4598966812126785,0.03571428571428571,29.0,4,False,False,True,
E012,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,longitudinal,SWS_spectral,baseline proportion <1 Hz SWA,PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,cortical composite,pearson_r,-0.52,,,,0.002,unadjusted,lower_baseline_SWA_faster_Ab_accumulation,0.52,direct_burden_change,"'lower prop. <1 Hz SWA at initial baseline went on to experience a significantly greater subsequent rate of cortical Ab accumulation (r = -0.52, p = 0.002)'",direct_r,0.52,0.5763397549691928,0.034482758620689655,30.0,0,False,False,True,
E013,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,longitudinal,SWS_stage,baseline SWS (N3) minutes,PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,cortical composite,pearson_r,-0.07,,,,0.72,unadjusted,null_for_N3_stage,0.07,CRITICAL: N3 stage duration null in the same sample where <1 Hz SWA r=-0.52,"'NREM slow-wave sleep [SWS], r = -0.07, p = 0.72'",direct_r,0.07,0.07011467065432513,0.034482758620689655,30.0,0,False,False,True,
